aa-lsm-hook                                   - AppArmor system integration
libgnome-keyring                              - The libgnome-keyring is used by applications to integrate with the GNOME Keyring system.
libgnome-menus                                - GNOME library to access and manipulate menus
libgnomekbd                                   - XKB Hooks used by the GNOME Desktop
libgnutls                                     - The GnuTLS package contains libraries and userspace tools which provide a secure layer over a reliable transport layer
libgnutls-utils                               - Command line applications for GnuTLS
libgomp                                       - GNU Compiler Collection
libgpg-error                                  - library with error codes for GnuPG related software
libgpg-error-devel                            - Development files for libgpg-error
libgphoto2                                    - Digital Camera access library
libgpod                                       - libgpod is a shared library to access the contents of an iPod
libgsf                                        - Library providing I/O for structured file formats
libgtk-2                                      - The GTK+ 2 package contains the libraries used for creating graphical user interfaces for applications
libgtk-3                                      - The GTK+ 3 package contains the libraries used for creating graphical user interfaces for applications
libgtk-3-devel                                - Development files for libgtk-3
libgtk-4                                      - libgtk-4 contains the libraries used for creating graphical user interfaces and applications.
libgtkmm-3                                    - C++ bindings to GTK+
libgtkmm-4                                    - C++ bindings to GTK+
libgtksourceview4                             - Syntax highlighting text editing C library
libgtksourceview5                             - A text widget adding syntax highlighting and more to GNOME
libgtop                                       - GNOME top libraries
libgudev                                      - GObject bindings for libudev
libgudev-devel                                - Development files for libgudev
libgusb                                       - GObject wrapper for libusb
libgweather                                   - The libgweather package is a library used to access weather information from online services for numerous locations
libgxps                                       - libgxps is a GObject based library for handling and rendering XPS documents
libhandy                                      - Library full of GTK+ widgets for mobile phones
libharu                                       - Free PDF library
libheif                                       - libheif is an ISO/IEC 23008-12:2017 HEIF and AVIF (AV1 Image File Format) file format decoder and encoder
libhogweed                                    - Low level cryptographic library
libhunspell                                   - Hunspell spelling checker
libical                                       - An implementation of the iCalendar protocols and data formats
libice                                        - Inter-Client Exchange Library
libicu                                        - International Components for Unicode
libicu-devel                                  - Development files for libicu
libid3tag                                     - Fork of the libid3tag library for reading ID3 metadata tags from MP3 files
libidn                                        - Internationalized domain name support library
libidn2                                       - Internationalized domain name support library
libieee1284                                   - ieee1284 parallel port library
libimobiledevice                              - A library to communicate with services of Apple iOS devices using native protocols.
libinput                                      - Generic input library
libinstpatch                                  - libInstPatch stands for lib-Instrument-Patch and is a library for processing digital sample based MIDI instrument "patch" files.
libiptcdata                                   - libiptcdata is a library for manipulating IPTC metadata
libixion                                      - General purpose formula parser & interpreter
libjpeg-turbo                                 - libjpeg-turbo is a a fork of the original IJG libjpeg, offering faster compression and decompression.
libjpeg-turbo-devel                           - Development files for libjpeg-turbo
libjson-glib                                  - JSON GLib Package
libjxl                                        - JPEG XL reference implementation
libkate                                       - Overlay codec for Ogg
libkdcraw                                     - C++ interface to LibRaw
libksane                                      - SANE Library interface for KDE
libksba                                       - Library to work with X.509 certificates
liblangtag                                    - An interface library to access tags for identifying languages
liblc3                                        - Low Complexity Communication Codec library and tools
liblcms2                                      - Small-footprint color management engine
libldac                                       - LDAC Bluetooth encoder library
libltc                                        - libLTC provides functionality to encode and decode LTC audio from/to SMPTE or EBU timecode, including SMPTE date support.
libmatroska                                   - The extensible, open source, open standard Multimedia container
libmaxminddb                                  - C library for the MaxMind DB file format
libmbim                                       - Library for talking to WWAN modems
libmediaart                                   - Media Art library
libmediainfo                                  - A convenient unified display of the most relevant technical and tag data for video and audio files.
libmfx                                        - Legacy API for hardware video acceleration on Intel GPUs (Broadwell to Rocket Lake)
libmms                                        - libmms is a library for downloading (streaming) media files using the mmst and mmsh protocols.
libmnl                                        - libmnl is a minimalistic user-space library oriented to Netlink developers
libmodplug                                    - Library for playing MOD-like music files
libmpeg2                                      - A free MPEG-2 video stream decoder
libmspub                                      - library and tools for reading and converting MS Publisher files
libmtp                                        - Library implementation of the Media Transfer Protocol
libmwaw                                       - Import library for legacy Mac documents
libmypaint                                    - A library for making brushstrokes
libndp                                        - Neighbor Discovery library
libnettle                                     - Low level cryptographic library
libnfnetlink                                  - libnfnetlink is the low-level library for netfilter related kernel/userspace communication.
libnfs                                        - A client library for accessing NFS shares over a network
libnftnl                                      - Netfilter library providing interface to the nf_tables subsystem
libnice                                       - The GLib ICE implementation
libnl                                         - a collection of libraries providing APIs to netlink protocol based Linux kernel interfaces.
libnma                                        - Library for network-manager-applet
libnotify                                     - Desktop notifications library
libnspr                                       - Netscape Portable Runtime
libnss                                        - Network Security Services
libnumbertext                                 - Number to number name and money text conversion libraries
libnvme                                       - C Library for NVM Express
liboauth                                      - Library implementing OAuth Core RFC 5849 standard
libodfgen                                     - Library for generating documents in ODF
libofx                                        - An API designed to allow applications to very easily support OFX command responses
libogg                                        - Ogg format library
libogg-devel                                  - Development files for libogg
libopenmpt                                    - OpenMPT-based module player library
liborcus                                      - Standalone file processing filters
libosinfo                                     - The Operating System information database
libp11-kit                                    - The p11-kit package Provides a way to load and enumerate PKCS#11 (a Cryptographic Token Interface Standard) modules
libpagemaker                                  - Library and tools to use with Adobe PageMaker documents
libpaper                                      - Paper size library
libparted                                     - Disk partitioning and partition resizing tool - shared libraries
libpcap                                       - A system-independent interface for user-level packet capture
libpciaccess                                  - Generic PCI access library for X
libpciaccess-devel                            - Development files for libpciaccess
libpcre                                       - Perl Compatible Regular Expressions
libpeas                                       - libpeas provides a plugin framework for GLib applications
libphonenumber                                - library for working with international phone numbers
libpipeline                                   - pipeline manipulation library
libplacebo                                    - Reusable library for GPU-accelerated image/video processing primitives and shaders, as well a batteries-included, extensible, high-quality rendering pipeline (similar to mpv's vo_gpu). Supports Vulkan and OpenGL.
libplist                                      - A small portable C library to handle Apple Property List files in binary or XML.
libpng                                        - libpng (Official PNG reference library)
libpng-devel                                  - Development files for libpng
libpng12                                      - libpng12 (Binary Compatibility Library)
libportal                                     - libportal provides GIO-style async APIs for most Flatpak portals.
libppd                                        - OpenPrinting support for PPD files
libproxy                                      - libproxy is a library that provides automatic proxy configuration management
libpsl                                        - C library to handle the Public Suffix List
libpwquality                                  - Library for password quality checking and generating random passwords
libqmi                                        - WWAN modem (QMI) protocol library
libqrtr-glib                                  - libqrtr-glib is a glib-based library to use and manage the QRTR (Qualcomm IPC Router) bus.
libqxp                                        - Library for processing QuarkXPress documents
libraw                                        - LibRaw is a library for reading RAW files from digital cameras
libraw1394                                    - Library providing raw IEE1394 support to userspace
libreoffice-calc                              - LibreOffice Office Suite
libreoffice-common                            - LibreOffice Office Suite
libreoffice-draw                              - LibreOffice Office Suite
libreoffice-impress                           - LibreOffice Office Suite
libreoffice-writer                            - LibreOffice Office Suite
librest                                       - RESTful API library
librevenge                                    - Library for writing document import filters
librsvg                                       - Library to render SVG files using Cairo
libsamplerate                                 - libsamplerate is a Sample Rate Converter for audio.
libsass                                       - LibSass is a C/C++ port of the Sass CSS precompiler
libseccomp                                    - High level interface to the Linux Kernel's seccomp filter
libsecret                                     - The libsecret package contains a GObject based library for accessing the Secret Service API.
libselinux                                    - SELinux runtime library
libshout                                      - Library which can be used to write a source client like ices
libsigc++                                     - The libsigc++ package implements a typesafe callback system for standard C++.
libsigc++30                                   - The libsigc++30 package implements the libsigc++ 3.x ABI for its typesafe callback system for standard C++.
libsigsegv                                    - GNU libsigsegv is a library for handling page faults in user mode.
libslirp                                      - User-mode networking for unprivileged network namespaces
libsm                                         - X Session Management Library
libsndfile                                    - Read/write file library containing sampled sound
libsodium                                     - Sodium is a new, easy-to-use software library for encryption, decryption, signatures, password hashing and more.
libsoup                                       - GNOME HTTP client/server library
libsoup3                                      - GNOME HTTP client/server library
libsoxr                                       - High quality, one-dimensional sample-rate conversion library
libspectre                                    - libspectre is a small library for rendering Postscript documents
libspeex                                      - Audio compression format designed for speech and its converter application
libspeex-devel                                - Development files for libspeex
libssh                                        - SSH library
libssh2                                       - libssh2 is a client-side C library implementing the SSH2 protocol
libstartup-notification                       - Startup Notification libraries
libstdc++                                     - GNU Compiler Collection
libstemmer                                    - Snowball compiler and stemming algorithms
libtasn1                                      - C Library that encodes and decodes DER/BER data following an ASN.1 schema
libtelepathy-glib                             - Telepathy is a D-Bus framework for unifying real time communication
libtheora                                     - Open source video format
libtheora-devel                               - Development files for libtheora
libtiff                                       - Library for accessing TIFF files
libtiff-devel                                 - Development files for libtiff
libtirpc                                      - Transport Independent RPC library (SunRPC replacement)
libtool                                       - Generic library support script
libtool-devel                                 - Development files for libtool
libtpms                                       - Library providing Trusted Platform Module (TPM) functionality
libunibreak                                   - Unibreak Library
libunibreak-devel                             - Development files for libunibreak
libunistring                                  - Library for manipulating Unicode strings
libunwind                                     - Open-source implementation of the libunwind API
libunwind-devel                               - Development files for libunwind
libupnp                                       - Portable Open Source UPnP Development Kit
liburcu                                       - Userspace RCU Implementation
liburing                                      - Library for interacting with the io_uring Linux kernel functionality
libusb                                        - libusb (USB library)
libusbmuxd                                    - A client library to multiplex connections from and to iOS devices by connecting to a socket provided by a usbmuxd daemon.
libuv                                         - A multi-platform support library with a focus on asynchronous I/O
libva                                         - Libva is an implementation for VA-API (Video Acceleration API)
libva-devel                                   - Development files for libva
libva-intel-driver                            - Intel HD graphics VA-API implementation
libvdpau                                      - Video Decode and Presentation API for Unix
libvirt                                       - Library providing a simple virtualization API
libvirt-glib                                  - libvirt is a C toolkit to interact with the virtualization capabilities of recent versions of Linux
libvirt-python                                - The libvirt virtualization API python binding
libvisio                                      - Library and a set of tools for reading and converting MS Visio diagrams
libvncserver                                  - VNC Server Library
libvoikko                                     - Libvoikko provides spell checking, hyphenation, grammar checking and morphological analysis for Finnish language
libvorbis                                     - Open source audio format
libvorbis-devel                               - Development files for libvorbis
libvpl                                        - Intel Video Processing Library (libVPL) dispatcher
libvpx                                        - Reference implementation of the VP8 & VP9 codec
libvpx-devel                                  - Development files for libvpx
libvte                                        - The VTE package contains a termcap file implementation for terminal emulators.
libwacom                                      - A library used to identify wacom tablets and their model-specific features
libwebkit-gtk                                 - Web rendering engine
libwebkit-gtk41                               - Web rendering engine
libwebkit-gtk6                                - Web rendering engine
libwebp                                       - A new image format for the web
libwpd                                        - Library for import of WordPerfect documents
libwpg                                        - A library for import of WordPerfect Graphics images
libwps                                        - Microsoft Works file format import filter
libwww-perl                                   - WWW Perl Modules
libx11                                        - Core X11 protocol client library
libx11-devel                                  - Development files for libx11
libxau                                        - X Authorization Protocol library
libxau-devel                                  - Development files for libxau
libxaw                                        - X11 Athena Widget library
libxcb                                        - X C Binding
libxcb-devel                                  - Development files for libxcb
libxcomposite                                 - client library for the Composite extension to the X11 protocol
libxcomposite-devel                           - Development files for libxcomposite
libxcrypt                                     - Extended crypt library for descrypt, md5crypt, bcrypt, and others
libxcursor                                    - X Cursor management library
libxcursor-devel                              - Development files for libxcursor
libxcvt                                       - VESA CVT standard timing modelines generator.
libxdamage                                    - X11 damaged region extension library
libxdamage-devel                              - Development files for libxdamage
libxdmcp                                      - X Display Manager Control Protocol library
libxdmcp-devel                                - Development files for libxdmcp
libxext                                       - X11 common extensions base
libxext-devel                                 - Development files for libxext
libxfce4ui                                    - Widgets library for the Xfce desktop environment.
libxfce4util                                  - Extension library for Xfce
libxfixes                                     - X11 miscellaneous 'fixes' extension library
libxfixes-devel                               - Development files for libxfixes
libxfont2                                     - libXfont provides the core of the legacy X11 font system, handling the index files (fonts.dir, fonts.alias, fonts.scale), the various font file formats, and rasterizing them.
libxft                                        - FreeType-based font drawing library for X
libxft-devel                                  - Development files for libxft
libxi                                         - X Input Extension Library
libxi-devel                                   - Development files for libxi
libxinerama                                   - X Xinerama extension library
libxinerama-devel                             - Development files for libxinerama
libxkbcommon                                  - xkbcommon is a library to handle keyboard description
libxkbcommon-devel                            - Development files for libxkbcommon
libxkbfile                                    - X11 keyboard file manipulation library
libxklavier                                   - The libxklavier package contains a utility library for X keyboard.
libxml++26                                    - C++ bindings to libxml2
libxml2                                       - GNOME XML Library
libxml2-devel                                 - Development files for libxml2
libxmlb                                       - A library to help create and query binary XML blobs
libxmu                                        - X11 miscellaneous utility library
libxpm                                        - X Pixmap (XPM) image file format library
libxpresent                                   - X11 presentation library
libxrandr                                     - X11 RandR extension library
libxrandr-devel                               - Development files for libxrandr
libxrender                                    - X Rendering Extension client library
libxrender-devel                              - Development files for libxrender
libxscrnsaver                                 - X11 Screen Saver extension client library
libxshmfence                                  - X Linux futex event API
libxslt                                       - GNOME XSLT Library
libxt                                         - X Toolkit Intrinsics library
libxtst                                       - X11 Testing -- Record extension library
libxtst-devel                                 - Development files for libxtst
libxv                                         - X11 Video extension library
libxvmc                                       - X11 Video extension library - MotionCompensation
libxxf86dga                                   - X11 Direct Graphics Access extension library
libxxf86vm                                    - X11 XFree86 video mode extension library
libzen                                        - Small C++ derivate classes to have an easier life
libzip                                        - libzip is a C library for reading, creating, and modifying zip archives
libzmf                                        - Library for import of Zoner document formats
lilv                                          - A library to make the use of LV2 plugins as simple as possible
linux-current                                 - Linux kernel image and modules (current)
linux-driver-management                       - Linux Driver Management
linux-driver-management-gdm-integration       - LDM Integration for GDM
linux-firmware                                - Firmware required for many devices
linux-headers                                 - Kernel's libc headers
linux-lts                                     - Linux kernel image and modules (LTS)
linux-tools-cpupower                          - The cpupower program
linux-tools-x86_energy_perf_policy            - Allows programs and admins to define the relative importance of performance and energy efficiency.
llvm                                          - Low Level Virtual Machine (Reusable compiler and toolchains)
llvm-clang                                    - Clang Compiler frontend to LLVM
llvm-devel                                    - Development files for llvm
lm_sensors                                    - User space hardware monitoring
lsb-release                                   - LSB status script
lsd                                           - The next generation ls command
lsof                                          - lsof (for LiSt Open Files) displays information about files open to Unix processes
lsp-plugins                                   - Linux Studio Plugins Project
lua                                           - Lightweight programming language
luajit                                        - Just-in-time compiler and drop-in replacement for Lua 5.1
lvm2                                          - The LVM2 package is a package that manages logical partitions.
lyx                                           - LyX document processor
lz4                                           - LZ4 commmand line tools
lzip                                          - Lossless data compressor
lzo                                           - LZO compression library
m4                                            - GNU M4 is an implementation of the traditional Unix macro processor
make                                          - Tool to compile sources trees
man-db                                        - Application to read Linux man pages
marble-libs                                   - Virtual Globe and World Atlas
mariadb-libs                                  - MariaDB client libraries
md4c                                          - C Markdown parser and library
mda-lv2                                       - MDA-LV2 is an LV2 port of the MDA plugins by Paul Kellett.
mdadm                                         - MDADM - Software Raid Management
media-player-info                             - Media Player Capability Library
megacmd                                       - Command Line Interactive and Scriptable Application to access MEGA
meld                                          - Meld is a visual diff and merge tool targeted at developers.
mesa-demos                                    - Demonstrations of the Mesa3D Library
mesalib                                       - Mesa is an OpenGL compatible 3D graphics library.
mesalib-devel                                 - Development files for mesalib
meson                                         - A high performance build system
metis                                         - Serial Graph Partitioning and Fill-reducing Matrix Ordering
microdns                                      - Minimal mDNS resolver (and announcer) library
minizip-ng                                    - Fork of the zlib zip library
mlt                                           - Multimedia framework designed for television broadcasting.
mobile-broadband-provider-info                - Mobile Broadband Provider Info
modem-manager                                 - GNOME Modem Manager
movit                                         - High-performance, high-quality video filters for the GPU
mozjs                                         - JS is Mozilla's JavaScript engine written in C/C++
mpc                                           - The MPC package contains a library for the arithmetic of complex numbers with arbitrarily high precision and correct rounding of the result.
mpfr                                          - The MPFR package contains functions for multiple precision math.
mpg123                                        - Console based mp3 decoder
mpv-libs                                      - mpv is a fork of mplayer2 and MPlayer. It shares some features with the former projects while introducing many more
msgraph                                       - GLib-based library for accessing online service APIs using MS Graph protocol.
mtdev                                         - Multitouch Protocol Translation Library
mtools                                        - A collection of utilities to access MS-DOS disks without mounting them
mutagen                                       - Python module for handling audio metadata
mutter                                        - Gnome Shell Window Manager
mutter-common                                 - Gnome Shell Window Manager
mypaint-brushes1                              - Brushes to be used with the MyPaint library
mythes                                        - Simple thesaurus library
nano                                          - Small, friendly text editor inspired by Pico
nanorc                                        - Improved Nano Syntax Highlighting Files
nasm                                          - Netwide Assembler
nautilus                                      - Access and organize files
nautilus-extension                            - Access and organize files
nautilus-python                               - Nautilus-python enables Python extentions in Nautilus
ncurses                                       - The ncurses library routines are a terminal-independent method of updating character screens with reasonable optimization.
net-snmp                                      - Simple Network Management Protocol
network-manager                               - Simple networking
network-manager-livecd                        - Live ISO configuration
networkmanager-openconnect                    - OpenConnect VPN plugin for NetworkManager
networkmanager-openvpn                        - OpenVPN plugin for NetworkManager
newt                                          - Newt is a programming library for color text mode, widget based user interfaces
nftables                                      - nftables replaces the popular iptables/ebtables
nghttp2                                       - HTTP/2 C Library
nghttp3                                       - HTTP/3 C Library
ninja                                         - A small build system with a focus on speed
nodejs                                        - Node.js is a platform built on Chrome's JavaScript runtime for easily building fast, scalable network applications.
noto-sans-ttf                                 - Noto Sans Fonts (Multi-lingual and Emoji)
noto-serif-ttf                                - Noto Serif Fonts (Multi-lingual)
npth                                          - Non-preemptive threads implementation (GNU pth)
nss-mdns                                      - glibc plugin for .local name resolution
nsxiv                                         - Neo (or New or Not) Simple (or Small or Suckless) X Image Viewer.
ntfs-3g                                       - Open source, driver for Windows NTFS file system
numactl                                       - Simple NUMA policy support for Linux.
numactl-devel                                 - Development files for numactl
numpy                                         - Array processing for numbers, strings, records, and objects in Python
nvidia-470-glx-driver-modaliases              - These files are used by the Software Center for hardware detection
nvidia-glx-driver-modaliases                  - These files are used by the Software Center for hardware detection
ocl-icd                                       - Vendor Neutral OpenCL Implementation
onboard                                       - On-screen keyboard
oniguruma                                     - Oniguruma is a modern and flexible regular expressions library
openal-soft                                   - Open Source OpenAL implementation
openblas                                      - OpenBLAS is an optimized BLAS library based on GotoBLAS2 1.13 BSD version
opencollada                                   - COLLADA (COLLAborative Design Activity) is an interchange file format for interactive 3D applications.
opencolorio                                   - A color management framework for visual effects and animation
openconnect                                   - Open client for Cisco AnyConnect VPN
opencv                                        - OpenCV is an open source computer vision and machine learning software library
openexr                                       - A high dynamic-range image file format library
openimagedenoise                              - High-Performance Denoising Library for Ray Tracing
openimageio                                   - OpenImageIO
openjpeg                                      - An open-source JPEG 2000 codec written in C
openldap                                      - An open source implementation of the Lightweight Directory Access Protocol.
openshadinglanguage                           - Advanced shading language for production GI renderers
opensp                                        - A library and a set of tools for validating, parsing and manipulating SGML and XML documents
openssh                                       - OpenSSH (OpenBSD Secure Shell)
openssh-server                                - OpenSSH Daemon
openssl                                       - Cryptographic tools required by many packages
openssl-11                                    - Legacy cryptographic tools required by many packages
opensubdiv                                    - An Open-Source subdivision surface library
openvdb                                       - Sparse volume data structure and tools
openvpn                                       - OpenVPN Client
opus                                          - Opus is a totally open, royalty-free, highly versatile audio codec.
opus-devel                                    - Development files for opus
orc                                           - The Oil Runtime Compiler
orc-devel                                     - Development files for orc
orca                                          - Orca Screen Reader
os-prober                                     - Detects OSes available on the system
osinfo-db                                     - OS database for libosinfo
osm-gps-map                                   - A Gtk+ Widget for Displaying OpenStreetMap tiles
ostree                                        - Git-like filesystem management
p7zip                                         - p7zip is a port of 7za for POSIX systems like Unix
packagekit                                    - A D-BUS abstraction layer that allows the user to manage packages in a secure way using a cross-distro, cross-architecture API. (NOT SUPPORTED)
packagekit-qt-qt6                             - Qt bindings for PackageKit - Qt6 bindings
pam                                           - Pluggable Authentication Modules library
pandoc                                        - Pandoc is a Haskell library for converting from one markup format to another, and a command-line tool that uses this library
pango                                         - pango (Library for laying out and rendering text)
pango-devel                                   - Development files for pango
pangomm                                       - C++ bindings to pango
pangomm-2.48                                  - C++ bindings to pango
papirus-icon-theme                            - A free and open source SVG icon theme for Linux systems
parted                                        - Disk partitioning and partition resizing tool
partio                                        - A library for particle IO and manipulation
patch                                         - patch (patches source files)
pcaudiolib                                    - Portable C Audio Library
pciutils                                      - Utilities to deal with PCI bus
pcre2                                         - PCRE2 - Perl-Compatible Regular Expressions
pcre2-devel                                   - Development files for pcre2
pcsc-lite                                     - PC/SC Architecture smartcard middleware library
perl                                          - Perl
perl-archive-zip                              - Perl Archive::Zip module
perl-authen-sasl                              - Authen::SASL - SASL Authentication framework
perl-b-hooks-endofscope                       - B::Hooks::EndOfScope - Execute code after a scope finished compilation
perl-clone                                    - Perl Clone()
perl-common-sense                             - common::sense - save a tree AND a kitten, use common::sense!
perl-data-dump                                - Pretty printing of data structures
perl-devel-globaldestruction                  - Devel::GlobalDestruction - Provides function returning the equivalent of `${^GLOBAL_PHASE} eq 'DESTRUCT'` for older perls
perl-digest-hmac                              - Digest::HMAC - Keyed-Hashing for Message Authentication
perl-digest-sha1                              - Perl interface to the SHA-1 algorithm
perl-dist-checkconflicts                      - Dist::CheckConflicts - declare version conflicts for your dist
perl-encode-locale                            - Determine the locale encoding
perl-error                                    - Perl error module
perl-file-copy-recursive                      - File::Copy::Recursive - Perl extension for recursively copying files and directories
perl-file-homedir                             - Find your home and other directories on any platform
perl-file-listing                             - File::Listing - Parse directory listing
perl-file-which                               - File::Which - Perl implementation of the which utility as an API
perl-html-parser                              - HTML::Parser - HTML parser class
perl-http-cookies                             - HTTP::Cookies - HTTP cookie jars
perl-http-daemon                              - HTTP::Daemon - a simple http server class
perl-http-date                                - Perl HTTP date functions
perl-http-message                             - HTTP::Message - HTTP style message (base class)
perl-http-negotiate                           - HTTP::Negotiate - choose a variant to serve
perl-image-exiftool                           - Reader and rewriter of EXIF informations that supports raw files
perl-io-html                                  - IO::HTML - Open an HTML file with automatic charset detection
perl-io-socket-ssl                            - IO::Socket::SSL -- Nearly transparent SSL encapsulation for IO::Socket::INET
perl-ipc-run3                                 - IPC::Run3 - run a subprocess in batch mode (a la system) on Unix
perl-ipc-system-simple                        - Run commands simply, with detailed diagnostics
perl-json-xs                                  - json_xs - JSON::XS commandline utility
perl-libnet                                   - Perl clients for various network protocols
perl-log-dispatch                             - Dispatches messages to one or more outputs
perl-lwp-mediatypes                           - LWP::MediaTypes - guess media type for a file or a URL
perl-lwp-protocol-https                       - LWP::Protocol::https - Provide https support for LWP::UserAgent
perl-module-implementation                    - This module abstracts out the process of choosing one of several underlying implementations for a module
perl-module-runtime                           - Module::Runtime - runtime module handling
perl-mozilla-ca                               - Mozilla::CA - Mozilla's CA cert bundle in PEM format
perl-namespace-autoclean                      - namespace::autoclean - Keep imports out of your namespace
perl-namespace-clean                          - Keep imports and functions out of your namespace
perl-net-dbus                                 - Net::DBus - Perl extension for the DBus message system
perl-net-http                                 - Net::HTTP - Low-level HTTP connection (client)
perl-net-ssleay                               - Net::SSLeay - Perl extension for using OpenSSL
perl-ntlm                                     - This module implements the NTLM authentication mechanism.
perl-package-stash                            - Package::Stash - Routines for manipulating stashes
perl-params-validate                          - Params::Validate - Validate method/function parameters
perl-posix-strptime                           - POSIX::strptime - Perl extension to the POSIX date parsing strptime(3) function
perl-scalar-list-utils                        - Scalar::Util, List::Util and Sub::Util perl modules
perl-sub-exporter-progressive                 - Sub Exporter Wrapper
perl-sub-identify                             - Sub::Identify allows you to retrieve the real name of code references.
perl-try-tiny                                 - Try::Tiny - Minimal try/catch with proper preservation of $@
perl-types-serialiser                         - Types::Serialiser - simple data types for common serialisation formats
perl-uri                                      - URI - Uniform Resource Identifiers (absolute and relative)
perl-variable-magic                           - Variable::Magic - Associate user-defined magic to variables from Perl
perl-www-robotrules                           - WWW::RobotRules - database of robots.txt-derived permissions
perl-x11-protocol                             - Perl module for the X Window System Protocol, version 11
perl-xml-twig                                 - Perl XML module
perl-xmlparser                                - XML Parsing Module for Perl
perl-yaml-tiny                                - YAML::Tiny - Read/Write YAML files with as little code as possible
phodav                                        - Minimal WebDAV server implementation
phonon-qt5                                    - Qt-style interface for audio and video. - Qt5 bindings
piksemel                                      - Python XML API based on the iksemel library
pinentry                                      - Pin or pass-phrase entry dialog
pip                                           - The PyPA recommended tool for installing Python packages
pipewire                                      - Multimedia processing graphs
pipewire-lib                                  - Multimedia processing graphs
pisi                                          - PISI
pixman                                        - pixman (software library for pixel manipulation)
pixman-devel                                  - Development files for pixman
pkcs11-helper                                 - Library for interacting with PKCS#11 providers
plocate                                       - plocate, a much faster locate
podofo                                        - PoDoFo is a library to work with the PDF file format
polkit                                        - Application-level authorization toolkit
polkit-qt-1-qt5                               - Qt wrapper around polkit-1 - Qt5 bindings
polkit-qt-1-qt6                               - Qt wrapper around polkit-1 - Qt6 bindings
poppler                                       - PDF Rendering Library
poppler-data                                  - encoding data for the poppler PDF rendering library
poppler-qt5                                   - PDF Rendering Library
poppler-utils                                 - PDF Rendering Library
popt                                          - popt
portaudio                                     - PortAudio is a free, cross-platform, open-source, audio I/O library
portmidi                                      - PortMidi is a library for  real-time input and output of MIDI data using a system-independent interface.
postgresql-libpq                              - PostgreSQL C client library
potrace                                       - Potrace is a tool for tracing a bitmap, which means, transforming a bitmap into a smooth, scalable image
power-profiles-daemon                         - Makes power profiles handling available over D-Bus.
powerlevel10k                                 - Powerlevel10k is a theme for Zsh.
powerline                                     - Powerline vim plugin and shell prompts
powerline-dbginfo                             - Debug symbols for powerline
powerline-fonts                               - Powerline Font Pack
powertop                                      - PowerTOP is a Linux tool to diagnose issues with power consumption and power management.
ppp                                           - an open source package which implements the Point-to-Point Protocol (PPP) on Linux and Solaris systems
procps-ng                                     - /proc file system utilities
protobuf                                      - Protocol Buffers - Google's data interchange format
psmisc                                        - PSMisc
psutils                                       - Utilities for manipulating PostScript documents
ptex                                          - Per-Face Texture Mapping for Production Rendering
pugixml                                       - pugixml is a C++ XML processing library
pulseaudio                                    - Advanced sound system
pyatspi2                                      - A python client library for the AT-SPI D-Bus accessibility infrastructure.
pycups                                        - Python bindings for cups
pygments                                      - Pygments is a syntax highlighting package written in Python
pyparsing                                     - Python library for creating PEG parsers
python                                        - Python 2.7
python-bcrypt                                 - Modern password hashing for your software and your servers
python-beautifulsoup4                         - Beautiful Soup is a Python library designed for quick turnaround projects like screen-scraping (also known as BS4)
python-cairo                                  - Python Cairo Bindings
python-certifi                                - Python package for providing Mozilla's CA Bundle
python-cffi                                   - Foreign Function Interface for Python calling C code
python-chardet                                - Python character encoding detector
python-charset-normalizer                     - Truly universal encoding detector in pure Python
python-colorama                               - Cross-platform colored terminal text
python-configobj                              - Config file reading, writing, and validation
python-cparser                                - pycparser is a complete parser of the C language
python-cryptography                           - A package designed to expose cryptographic recipes and primitives to Python developers
python-cssselect                              - cssselect parses CSS3 Selectors and translates them to XPath 1.0
python-dateutil                               - Python date module
python-dbus                                   - D-Bus module for Python
python-decorator                              - Better living through Python with decorators
python-defusedxml                             - Defuses XML bombs and other exploits
python-gobject                                - Python GObject bindings
python-gobject2                               - PyGTK for GTK2 libraries
python-gtk2                                   - GTK+2 bindings for Python
python-httplib2                               - Small, fast HTTP client library for Python
python-idna                                   - A python library to support the Internationalised Domain Names in Applications
python-inotify                                - An adapter to Linux kernel support for inotify directory-watching
python-libevdev                               - A Python wrapper around libevdev
python-lxml                                   - XML and HTML with Python
python-magic                                  - Python interface for libmagic
python-markdown-it-py                         - Markdown parser done right
python-mdurl                                  - Markdown URL utilities
python-multidict                              - The multidict implementation
python-notify2                                - notify2 is a replacement for pynotify
python-openssl                                - Python interface to the OpenSSL library
python-packaging                              - Core utilities for Python packages
python-pillow                                 - The friendly PIL fork (Python Imaging Library)
python-psutil                                 - Cross-platform lib for process and system monitoring in Python
python-pycurl                                 - Curl module for python
python-pyliblzma                              - Python bindings for lzma
python-pyqt5-sip                              - The sip module support for PyQt5
python-pysmbc                                 - Python bindings for libsmbclient from the Samba project
python-pysocks                                - A Python SOCKS client module
python-pyte                                   - Simple VTXXX-compatible linux terminal emulator
python-requests                               - Python HTTP for Humans
python-requests-toolbelt                      - A toolbelt of useful classes and functions to be used with python-requests
python-rich                                   - Rich is a Python library for rich text and beautiful formatting in the terminal
python-setproctitle                           - A Python module to customize the process title
python-setuptools                             - Easily download, build, install, upgrade, and uninstall Python packages
python-six                                    - Six is a Python 2 and 3 compatibility library
python-soupsieve                              - A modern CSS selector implementation for BeautifulSoup
python-urllib3                                - Python HTTP library with thread-safe connection pooling, file post, and more
